지역,구분,no.,시도,시군구,어린이집명,어린이집유형구분,운영현황,우편번호,주소,어린이집전화번호,어린이집팩스번호,보육실수,보육실면적,놀이터수,CCTV설치수,보육교직원수,정원수,현원수,위도,경도,통학차량운영여부,홈페이지주소,인가일자,휴지시작일자,휴지종료일자,폐지일자
,경기,3013,경기도,수원시권선구,엄마사랑어린이집,가정,정상,16607,경기도 수원시 권선구 하탑로41번길 24-12 (탑동),031-294-9876,--,4,77,0,6,6,20,14,37.26985664,126.976296,운영,,2004-03-16,,,
,경기,3014,경기도,수원시권선구,햇살어린이집,가정,정상,16399,경기도 수원시 권선구 매실로19번길 19 101동 104호(호매실동 쌍용아파트),031-306-7752,031-306-7752,3,84,0,4,7,19,16,37.26803412,126.9520904,미운영,,2004-03-11,,,
,경기,3015,경기도,수원시권선구,꿈동이어린이집,가정,정상,16577,"경기도 수원시 권선구 세지로 99 103동 105호(세류동, 삼익아파트)",031-237-1406,031-237-1406,3,59,0,4,7,13,9,37.26111069,127.017446,운영,,2006-05-01,,,
,경기,3016,경기도,수원시권선구,친구어린이집,가정,정상,16384,"경기도 수원시 권선구 금곡로 45 206동 103호(금곡동, 금곡엘지빌리지)",031-227-8665,031-227-8665,3,100,0,4,7,20,17,37.27528092,126.9338067,미운영,http://cafe.naver.com/chingu8665,2004-05-29,,,
,경기,3017,경기도,수원시권선구,예쁜사랑어린이집,가정,정상,16625,"경기도 수원시 권선구 매송고색로673번길 11 106동 104호(고색동, 태산아파트)",031-292-7021,031-295-7022,3,84,0,4,7,19,13,37.25093483,126.9769218,미운영,doght3@naver.com,2006-06-30,,,
,경기,3018,경기도,수원시권선구,백조어린이집,민간,정상,16605,경기도 수원시 권선구 탑동로48번길 16 (탑동),031-294-3119,031-293-2796,7,215,1,10,18,91,78,37.27323783,126.9750855,운영,,1993-07-26,,,
,경기,3019,경기도,수원시권선구,딩동댕어린이집,가정,정상,16564,경기도 수원시 권선구 세지로66번길 32 (권선동),031-239-4694,031-222-8239,3,71,0,5,6,20,12,37.25730353,127.0189587,운영,,2006-06-02,,,
,경기,3020,경기도,수원시권선구,둥지어린이집,가정,정상,16384,"경기도 수원시 권선구 금곡로 45 208동 104호(금곡동, 금곡엘지빌리지)",031-297-9402,031-297-9404,3,84,0,4,5,19,7,37.27528092,126.9338067,미운영,,2005-01-24,,,
,경기,3021,경기도,수원시권선구,천사어린이집,가정,정상,16415,"경기도 수원시 권선구 수성로 47 7동 102호(구운동, 삼환아파트)",031-295-2700,0504-435-5901,3,84,0,4,6,19,7,37.28411661,126.9785331,미운영,,1992-08-29,,,
,경기,3022,경기도,수원시권선구,예사랑어린이집,가정,정상,16382,"경기도 수원시 권선구 금곡로73번길 71 402동 101호(금곡동, LG빌리지)",031-308-7057,--,3,84,0,4,4,19,4,37.27528092,126.9338067,미운영,,2002-07-04,,,
,경기,3023,경기도,수원시권선구,둥지또또래어린이집,가정,정상,16415,"경기도 수원시 권선구 수성로 47 6동 108호(구운동, 삼환아파트)",031-292-6317,--,3,84,0,4,7,19,16,37.28411661,126.9785331,미운영,2004hksdaum.@net,2000-05-09,,,
,경기,3024,경기도,수원시권선구,유진어린이집,가정,정상,16553,"경기도 수원시 권선구 세권로304번길 47 512동 104호(권선동, 상록아파트)",031-226-7371,031-226-7371,3,85,0,4,6,19,10,37.2498271,127.0363908,미운영,,2001-08-23,,,
,경기,3025,경기도,수원시권선구,토마토어린이집,가정,정상,16620,"경기도 수원시 권선구 세화로168번길 15 115동 102호(서둔동, 센트라우스아파트)",031-297-7338,031-297-7338,3,94,0,4,7,20,19,37.26795981,126.9950095,미운영,,2006-04-24,,,
,경기,3026,경기도,수원시권선구,센트라어린이집,가정,정상,16620,"경기도 수원시 권선구 세화로168번길 15 110동 104호(서둔동, 센트라우스아파트)",031-297-3934,031-297-3934,3,61,0,4,6,19,17,37.26795981,126.9950095,미운영,centra3934,2006-05-15,,,
,경기,3027,경기도,수원시권선구,맘스어린이집,가정,정상,16408,경기도 수원시 권선구 구운중로3번길 8 (구운동),031-291-0808,031-291-0808,3,88,0,5,9,20,15,37.27549685,126.9729979,운영,,2004-08-21,,,
,경기,3028,경기도,수원시권선구,늘기쁨어린이집,가정,정상,16620,"경기도 수원시 권선구 세화로168번길 15 106동 102호(서둔동, 센트라우스아파트)",031-297-1905,031-297-1907,4,59,0,4,6,19,12,37.26795981,126.9950095,미운영,https://www.instagram.com/always_gippeum,2006-02-23,,,
,경기,3029,경기도,수원시권선구,새한별어린이집,민간,정상,16649,경기도 수원시 권선구 고현로5번길 15 (고색동),031-291-1578,031-291-1578,4,188,0,6,6,43,16,37.24825557,126.9868377,운영,,2006-10-23,,,
,경기,3030,경기도,수원시권선구,예쁜백조어린이집,가정,정상,16605,경기도 수원시 권선구 상탑로39번길 41 1층 (탑동),031-298-2906,070-7580-2906,3,67,0,4,7,20,19,37.27306382,126.9748657,운영,,2003-06-30,,,
,경기,3031,경기도,수원시권선구,한솔어린이집,가정,정상,16671,"경기도 수원시 권선구 동수원로58번길 21 107동 102호(곡반정동, 한솔아파트)",031-233-2936,--,3,99,0,4,7,20,12,37.23572752,127.0272118,미운영,,2006-05-23,,,
,경기,3032,경기도,수원시권선구,금성어린이집,민간,정상,16577,경기도 수원시 권선구 세지로87번길 19 (세류동),031-239-6034,031-221-6034,7,409,1,11,9,95,49,37.25990655,127.0170851,운영,,1998-12-04,,,
,경기,3033,경기도,수원시권선구,통큰아이어린이집,민간,정상,16672,경기도 수원시 권선구 곡반정로19번길 41 (곡반정동),031-234-2299,031-234-4480,12,432,1,15,10,100,44,37.23395923,127.0247469,운영,,1995-07-20,,,
,경기,3034,경기도,수원시권선구,조은아이어린이집,민간,정상,16605,경기도 수원시 권선구 탑동로36번길 24-6 (탑동),031-293-1179,031-296-1179,7,459,3,8,11,96,42,37.27213835,126.9757006,운영,,1999-02-23,,,
,경기,3035,경기도,수원시권선구,엄마마음어린이집,가정,재개,16413,경기도 수원시 권선구 일월천로4번길 74 성원아파트 107동 101호,031-292-5357,031-292-5357,4,124,0,4,7,20,14,37.28372874,126.9764202,미운영,,2000-01-27,,,
,경기,3036,경기도,수원시권선구,꼬마숲어린이집,가정,정상,16625,"경기도 수원시 권선구 매송고색로691번길 9 203동 103호(고색동, 고색태산2차아파트)",031-295-8107,031-295-8107,4,88,0,4,8,20,17,37.25171525,126.9801166,미운영,www.littleforest.co.kr,1998-05-04,,,
,경기,3037,경기도,수원시권선구,소파어린이집,민간,정상,16572,경기도 수원시 권선구 효원로100번길 7-12 (세류동),031-223-9310,031-223-9311,7,440,2,11,16,96,74,37.26538345,127.0131998,운영,http://cafe.daum.net/sopa96,1996-11-26,,,
,경기,3038,경기도,수원시권선구,햇님어린이집,민간,정상,16588,경기도 수원시 권선구 세지로27번길 24-18 (세류동),031-235-7044,031-236-4741,5,813,1,10,14,160,41,37.25562311,127.0147385,운영,,1996-04-01,,,
,경기,3039,경기도,수원시권선구,권선조은아이어린이집,가정,정상,16558,"경기도 수원시 권선구 권중로 99 806동 101호(권선동, 한성벽산아파트)",031-232-3224,031-232-3229,4,67,0,4,7,20,19,37.24980938,127.0301374,미운영,,2004-02-24,,,
,경기,3040,경기도,수원시권선구,달님별 어린이집,가정,재개,16413,"경기도 수원시 권선구 일월천로16번길 39 105동 101호(구운동, LD코오롱아파트)",031-293-6856,--,3,106,0,4,3,20,7,37.28467785,126.9748695,미운영,,2002-03-23,,,
,경기,3041,경기도,수원시권선구,삼정힐탑어린이집,민간,정상,16375,"경기도 수원시 권선구 당진로14번길 37 관리동 (당수동, 삼정아파트)",031-416-8777,031-417-8750,6,204,1,8,11,63,50,37.29051544,126.9427958,운영,,1998-03-30,,,
,경기,3042,경기도,수원시권선구,동화어린이집,민간,정상,16583,경기도 수원시 권선구 경수대로302번길 29 (권선동)삼성아파트 관리동 2층,031-222-9944,031-222-9944,6,282,1,6,11,65,47,37.25366181,127.0230471,미운영,,1995-10-02,,,
,경기,3043,경기도,수원시권선구,도담어린이집,민간,정상,16414,"경기도 수원시 권선구 수성로35번길 60 (구운동,청구아파트) 관리동",031-298-4427,031-298-4427,4,121,0,5,7,28,22,37.28560738,126.97816,운영,,2000-09-30,,,
,경기,3044,경기도,수원시권선구,회정어린이집,민간,정상,16569,경기도 수원시 권선구 효원로190번길 19 (권선동),031-236-2375,031-236-2385,9,662,1,16,18,160,93,37.2630039,127.0224575,운영,,1995-12-01,,,
,경기,3045,경기도,수원시권선구,강남푸른하늘어린이집,민간,정상,16392,"경기도 수원시 권선구 서수원로 607 관리동 2층 (금곡동, 강남아파트)",031-294-5363,031-294-5363,4,128,0,4,10,30,24,37.27847504,126.9523628,미운영,,1997-06-30,,,
,경기,3046,경기도,수원시권선구,햇빛어린이집,민간,정상,16413,"경기도 수원시 권선구 일월천로16번길 39 (구운동, 코오롱하늘채아파트)",031-295-1050,--,4,174,0,4,4,40,14,37.28467785,126.9748695,운영,,2000-06-19,,,
,경기,3047,경기도,수원시권선구,한사랑어린이집,민간,정상,16395,경기도 수원시 권선구 매실로 70 GS아파트 관리동 1층 (호매실동),031-293-5998,070-7580-5998,7,205,2,8,10,71,20,37.26768682,126.9591395,미운영,http://www.cyworld.com/eunsaem65,1999-05-04,,,
,경기,3048,경기도,수원시권선구,오즈어린이집,민간,정상,16581,경기도 수원시 권선구 세권로 182-5 (권선동)1~3층,031-221-3055,031-221-3055,7,474,2,16,13,83,33,37.25531471,127.0241767,운영,,1996-11-05,,,
,경기,3049,경기도,수원시권선구,맑고고운어린이집,민간,정상,16552,경기도 수원시 권선구 세권로 334 주공3단지아파트관리동,031-236-8216,031-236-8216,3,78,0,4,11,27,27,37.25065167,127.039304,미운영,,2001-09-15,,,
,경기,3050,경기도,수원시권선구,미예뜰어린이집,민간,정상,16607,경기도 수원시 권선구 서둔로217번길 28-5 (탑동),031-293-2279,031-293-3279,8,598,1,16,13,137,94,37.27076994,126.9775014,운영,mitteul.com,2005-03-14,,,
,경기,3051,경기도,수원시권선구,향기나무어린이집,민간,정상,16603,경기도 수원시 권선구 탑동로47번길 65-9 (탑동),031-291-3355,070-7547-1641,10,198,2,9,12,55,33,37.27228668,126.9717023,운영,,2002-03-04,,,
,경기,3052,경기도,수원시권선구,모아어린이집,가정,정상,16555,"경기도 수원시 권선구 덕영대로1323번길 26-31 227동 103호(권선동, 대림아파트)",031-233-5489,--,3,97,0,4,8,20,15,37.24762277,127.0380195,미운영,,2007-01-10,,,
,경기,3053,경기도,수원시권선구,아람어린이집,민간,정상,16620,경기도 수원시 권선구 세화로168번길 15 센트라우스아파트 주민복지관1층 (서둔동),031-297-0366,031-297-0369,4,167,0,6,13,39,36,37.26795981,126.9950095,미운영,,2006-12-26,,,
,경기,3054,경기도,수원시권선구,새예일어린이집,민간,정상,16618,경기도 수원시 권선구 세화로169번길 26-3 (서둔동),031-291-8406,031-292-8407,4,165,0,5,8,49,40,37.26705133,126.9917023,운영,,2007-02-27,,,
,경기,3055,경기도,수원시권선구,경기노총어린이집,민간,정상,16626,경기도 수원시 권선구 호매실로 46-16 경기종합노동복지회관 1층 (탑동),031-8004-4480,031-8004-4481,5,245,1,17,10,82,34,37.25680116,126.9690596,운영,,2008-03-05,,,
,경기,3056,경기도,수원시권선구,해비치어린이집,가정,정상,16650,"경기도 수원시 권선구 서부로 1534 106동 103호(고색동, 대한아파트)",031-305-9932,031-305-9932,3,88,0,4,5,20,13,37.24612005,126.9792885,미운영,,2008-03-10,,,
,경기,3057,경기도,수원시권선구,큰나무아이들어린이집,민간,정상,16671,경기도 수원시 권선구 곡선로50번길 45-3 (곡반정동),031-267-1009,031-267-2009,6,470,2,13,17,109,108,37.23679523,127.0290689,운영,,2008-03-10,,,
,경기,3058,경기도,수원시권선구,아롱아트어린이집,민간,정상,16653,경기도 수원시 권선구 새터로29번길 26 (세류동),031-238-1211,031-238-1211,5,210,0,6,9,48,34,37.25251954,127.006966,운영,,2008-03-12,,,
,경기,3059,경기도,수원시권선구,하바아이놀이어린이집,가정,정상,16378,"경기도 수원시 권선구 당진로31번길 51-18 201동 103호(당수동, 쌍용아파트)",031-502-3553,0505-307-3930,4,112,0,4,5,20,10,37.29246589,126.9372782,미운영,,2008-04-07,,,
,경기,3060,경기도,수원시권선구,아름드리어린이집,가정,정상,16556,"경기도 수원시 권선구 권중로 82 708동 108호(권선동, 신우아파트)",031-223-2676,--,3,74,0,4,4,17,6,37.25127642,127.0287653,미운영,,2008-06-13,,,
,경기,3061,경기도,수원시권선구,삼정어린이집,가정,정상,16375,"경기도 수원시 권선구 당진로14번길 37 202동 101호(당수동, 삼정)",031-406-5645,031-406-5646,3,63,0,4,4,15,8,37.29042755,126.9424969,미운영,,2008-10-13,,,
,경기,3062,경기도,수원시권선구,꼬마꿈샘어린이집,가정,정상,16375,"경기도 수원시 권선구 당진로14번길 37 201동 101호(당수동, 삼정)",031-504-4881,--,3,84,0,4,7,19,12,37.28996108,126.942344,미운영,kkomaks4881@naver.com,2008-11-24,,,
,경기,3063,경기도,수원시권선구,sk몬테소리어린이집,가정,정상,16567,"경기도 수원시 권선구 권선로694번길 26 101동 104호(권선동,수원권선SKVIEW)",031-893-7576,--,3,84,1,4,6,19,9,37.25790858,127.0261037,미운영,,2008-12-31,,,
,경기,3064,경기도,수원시권선구,평강어린이집,가정,정상,16567,"경기도 수원시 권선구 권선로694번길 25 204동 101호(권선동, 수원권선SKVIEW)",031-238-1208,--,3,84,0,4,4,19,12,37.25790858,127.0261037,미운영,,2008-12-31,,,
,경기,3065,경기도,수원시권선구,키즈꿈터어린이집,민간,정상,16605,경기도 수원시 권선구 서둔로239번길 16-8 (탑동),031-295-4560,031-295-4561,7,257,2,12,13,93,62,37.27322694,126.9780996,운영,,2009-01-22,,,
,경기,3066,경기도,수원시권선구,수민어린이집,가정,정상,16392,"경기도 수원시 권선구 서수원로 607 107동 103호(금곡동, 강남아파트)",031-298-8840,--,3,84,0,4,5,19,7,37.27865776,126.9525351,미운영,https://cafe.naver.com/1soomin,2009-01-22,,,
,경기,3067,경기도,수원시권선구,솔마루어린이집,민간,정상,16658,경기도 수원시 권선구 경수대로225번길 66 (세류동),031-222-4242,031-222-8203,10,264,2,15,12,97,62,37.24873928,127.0153365,운영,,2009-01-30,,,
,경기,3068,경기도,수원시권선구,큰사랑어린이집,가정,정상,16559,"경기도 수원시 권선구 권중로 136 504동 102호(권선동, 신동아대원아파트)",031-297-9336,031-297-9336,3,64,0,3,6,15,9,37.24848842,127.0319025,미운영,,2009-02-09,,,
,경기,3069,경기도,수원시권선구,노리하우스어린이집,가정,정상,16567,"경기도 수원시 권선구 권선로694번길 26 201동 104호(권선동, 수원권선SKVIEW)",031-891-1010,--,3,84,0,4,6,19,11,37.25791751,127.0270544,미운영,,2009-03-13,,,
,경기,3070,경기도,수원시권선구,하늘만큼어린이집,민간,정상,16579,경기도 수원시 권선구 세지로56번길 19 (세류동),031-236-1002,031-236-1002,7,229,0,12,7,49,24,37.25685745,127.0179747,운영,,2009-03-27,,,
,경기,3071,경기도,수원시권선구,예쁜맘어린이집,가정,정상,16369,"경기도 수원시 권선구 입북로 50 106동 104호(입북동, 서수원자이아파트)",031-294-7772,--,3,84,0,4,6,19,9,37.2965439,126.9595609,미운영,,2009-04-03,,,
,경기,3072,경기도,수원시권선구,꼬마대통령어린이집,가정,정상,16583,"경기도 수원시 권선구 권광로27번길 62 104동 106호(권선동, 삼천리권선1차아파트)",070-4007-7745,031-232-7745,4,84,0,4,9,19,10,37.25139,127.024574,미운영,,2009-04-07,,,
,경기,3073,경기도,수원시권선구,두원어린이집,가정,정상,16649,"경기도 수원시 권선구 고산로6번길 45 105동 106호(고색동, 대원아파트)",031-278-5990,031-278-5990,3,88,0,4,6,17,10,37.24856031,126.9841239,미운영,,2009-05-21,,,
,경기,3074,경기도,수원시권선구,동성어린이집,가정,정상,16396,"경기도 수원시 권선구 매곡로 100 103동 101호(금곡동, 동성아파트)",031-291-2320,--,3,84,0,4,5,19,9,37.27081302,126.9566216,운영,,2009-06-01,,,
,경기,3075,경기도,수원시권선구,동그라미어린이집,가정,정상,16395,"경기도 수원시 권선구 매실로 70 115동 101호(호매실동, GS아파트)",031-278-0620,--,3,59,0,3,5,13,6,37.26813784,126.9583165,미운영,,2009-07-02,,,
,경기,3076,경기도,수원시권선구,솔키즈어린이집,가정,정상,16395,"경기도 수원시 권선구 매실로 70 107동 106호(호매실동, LG아파트)",031-291-8077,031-291-8077,3,84,0,4,5,19,6,37.26768682,126.9591395,미운영,,2009-07-10,,,
,경기,3077,경기도,수원시권선구,애플비어린이집,가정,정상,16636,"경기도 수원시 권선구 서수원로183번길 2 201동 106호(오목천동, 오목천동대우푸르지오2단지아파트)",070-7672-7965,070-7672-7965,3,74,0,4,4,17,8,37.24601554,126.9671326,미운영,,2009-07-27,,,
,경기,3078,경기도,수원시권선구,예인어린이집,가정,정상,16398,"경기도 수원시 권선구 금호로15번길 15 2동 110호(금곡동, 신미주아파트)",031-227-4876,031-227-4876,3,84,0,4,6,19,14,37.26959597,126.9530846,운영,skgill48@hanmail.net,2009-08-07,,,
,경기,3079,경기도,수원시권선구,동화나라어린이집,가정,정상,16635,"경기도 수원시 권선구 삼천병마로1598번길 28-16 101동 104호(오목천동, 남광하우스토리)",031-292-8712,031-292-8712,3,98,0,4,7,20,19,37.24501141,126.9653418,미운영,,2009-08-12,,,
,경기,3080,경기도,수원시권선구,동산애어린이집,민간,정상,16369,"경기도 수원시 권선구 입북로 50 생활지원센터 (입북동, 서수원자이아파트)",031-278-3682,031-278-3682,5,270,1,8,9,62,19,37.29322835,126.9595039,미운영,,2009-08-05,,,
,경기,3081,경기도,수원시권선구,금호신사임당어린이집,가정,정상,16395,"경기도 수원시 권선구 매실로 70 110동 103호(호매실동, LG아파트)",031-291-3971,031-291-3971,3,91,0,4,4,19,6,37.26652537,126.9594476,미운영,cafe.daum.net/gssaimdang,2009-08-13,,,
,경기,3082,경기도,수원시권선구,빛나라어린이집,민간,정상,16567,"경기도 수원시 권선구 권선로694번길 25 (권선동, 수원시청역 SK VIEW)",031-223-7117,031-223-7117,4,134,0,5,8,31,21,37.25790858,127.0261037,미운영,,2010-02-22,,,
,경기,3083,경기도,수원시권선구,세류사임당어린이집,가정,정상,16589,경기도 수원시 권선구 세지로4번길 7 (세류동),031-223-7973,070-8186-7973,3,143,0,4,5,20,10,37.25257448,127.0149248,미운영,,2010-02-25,,,
,경기,3084,경기도,수원시권선구,고색평강어린이집,민간,정상,16649,경기도 수원시 권선구 고색로 48-3 1층(고색동),031-292-3847,031-292-3847,5,227,0,6,9,49,41,37.24973983,126.9821298,운영,,2010-04-14,,,
,경기,3085,경기도,수원시권선구,은초롱어린이집,가정,정상,16635,"경기도 수원시 권선구 서수원로 219 101동 105호(오목천동, 오목천동대우푸르지오1단지아파트)",031-297-0071,031-297-0094,3,84,0,4,6,19,14,37.24601554,126.9671326,미운영,,2010-07-02,,,
,경기,3086,경기도,수원시권선구,바나나어린이집,민간,정상,16406,경기도 수원시 권선구 구운로47번길 66-19 (구운동),031-294-1044,031-294-3020,13,999,3,24,26,222,149,37.27864927,126.9694304,운영,,2010-09-29,,,
,경기,3087,경기도,수원시권선구,다온어린이집,가정,정상,16584,"경기도 수원시 권선구 덕영대로1217번길 24 101동 104호(권선동, 두산동아아파트)",031-238-6505,-238-,4,101,0,5,8,20,18,37.2504885,127.0266403,미운영,,2011-01-18,,,
,경기,3088,경기도,수원시권선구,블루밍꿈터어린이집,가정,정상,16557,"경기도 수원시 권선구 권중로 158 403동 101호(권선동, 벽산아파트)",031-235-2392,031-235-2392,3,84,0,4,8,20,16,37.25076746,127.0328078,미운영,,2011-01-24,,,
,경기,3089,경기도,수원시권선구,굿맘그린어린이집,가정,정상,16381,"경기도 수원시 권선구 금곡로31번길 7 103동 102호(금곡동, LG빌리지)",031-227-1247,--,3,89,0,4,6,20,17,37.27028978,126.9374039,운영,,2011-03-02,,,
,경기,3090,경기도,수원시권선구,스마일어린이집,가정,정상,16634,"경기도 수원시 권선구 매송고색로506번길 17 207동 102호(오목천동, 청구2차아파트)",031-893-2402,--,3,84,0,4,6,19,11,37.24352524,126.9621172,미운영,,2011-05-20,,,
,경기,3091,경기도,수원시권선구,반디어린이집,가정,정상,16581,"경기도 수원시 권선구 세권로196번길 22 101동 105호(권선동, 한효아파트)",031-8025-2925,--,4,59,0,5,7,20,15,37.25443647,127.024763,미운영,,2011-08-16,,,
,경기,3092,경기도,수원시권선구,평동늘기쁨어린이집,가정,정상,16595,"경기도 수원시 권선구 권선로436번길 21 108동 104호(평동, 동남아파트)",031-297-1906,--,4,84,0,4,4,19,7,37.26224014,127.0005916,미운영,,2011-09-09,,,
,경기,3093,경기도,수원시권선구,물댄동산어린이집,가정,정상,16384,"경기도 수원시 권선구 금곡로 45 305동 104호(금곡동, 금곡엘지빌리지)",031-892-2055,031-892-2055,3,84,0,4,5,19,8,37.27139606,126.9391641,운영,http://cafe.daum.net/muldengarden,2011-09-15,,,
,경기,3094,경기도,수원시권선구,키즈맘어린이집,가정,정상,16550,"경기도 수원시 권선구 매탄로 11 206동 102호(권선동, 현대아파트)",031-309-7170,0504-026-5130,4,64,0,4,5,15,11,37.25320476,127.036555,미운영,,2011-11-29,,,
,경기,3095,경기도,수원시권선구,자이누리어린이집,가정,정상,16582,"경기도 수원시 권선구 권광로 55 120동 101호(권선동, 권선자이E편한세상아파트)",031-233-2101,--,3,84,0,4,10,20,15,37.25477661,127.0270146,미운영,,2011-12-06,,,
,경기,3096,경기도,수원시권선구,늘봄어린이집,가정,정상,16582,"경기도 수원시 권선구 권광로 55 111동 102호(권선2동, 권선자이E편한세상아파트)",031-224-5855,--,3,84,0,4,5,19,11,37.25477661,127.0270146,미운영,,2011-12-09,,,
,경기,3097,경기도,수원시권선구,뽀롱뽀롱어린이집,가정,정상,16582,"경기도 수원시 권선구 권광로 55 118동-103호(권선2동, 권선자이E편한세상아파트)",031-224-4118,031-224-4118,4,123,0,5,7,20,18,37.2527908,127.0260381,미운영,,2011-12-12,,,
,경기,3098,경기도,수원시권선구,아이퍼니어린이집,민간,정상,16385,"경기도 수원시 권선구 금곡로 46 관리동(금곡동, 수원호매실 휴먼시아5단지아파트)",031-295-5505,--,6,199,0,6,10,46,27,37.27139606,126.9391641,미운영,,2012-01-16,,,
,경기,3099,경기도,수원시권선구,아이월드어린이집,민간,정상,16628,"경기도 수원시 권선구 호매실로165번길 70 관리동(호매실동, 수원호매실 휴먼시아15단지아파트)",031-291-6331,031-291-6331,4,205,1,6,4,39,11,37.26014279,126.9520019,미운영,,2012-01-16,,,
,경기,3100,경기도,수원시권선구,하늘나무어린이집,가정,정상,16628,"경기도 수원시 권선구 호매실로165번길 70 1511동101호(호매실동, 수원호매실 휴먼시아15단지아파트)",031-295-7555,031-295-7555,3,55,0,4,5,19,10,37.26014279,126.9520019,미운영,,2012-01-30,,,
,경기,3101,경기도,수원시권선구,샛별어린이집,가정,정상,16664,"경기도 수원시 권선구 동수원로145번길 73 313동102호(권선동,수원아이파크시티3단지)",031-232-8820,031-232-8820,3,69,0,4,6,20,19,37.24155692,127.0254503,미운영,,2012-01-31,,,
,경기,3102,경기도,수원시권선구,토토어린이집,가정,정상,16628,"경기도 수원시 권선구 호매실로165번길 70 1503동 104호 (호매실동, 수원호매실 휴먼시아15단지아파트)",031-890-2050,031-890-2150,3,77,0,3,10,16,15,37.25967006,126.9517659,미운영,,2012-02-03,,,
,경기,3103,경기도,수원시권선구,선아어린이집,가정,정상,16385,"경기도 수원시 권선구 금곡로 46 524동103호(금곡동, 수원호매실 휴먼시아5단지아파트)",031-294-8996,--,3,68,0,4,4,20,8,37.27218505,126.9385681,미운영,,2012-02-15,,,
,경기,3104,경기도,수원시권선구,맑은샘어린이집,민간,정상,16375,경기도 수원시 권선구 당진로22번길 20 (당수동),031-419-9091,031-419-9091,6,193,1,7,12,54,39,37.29097123,126.9413764,운영,,2012-02-20,,,
,경기,3105,경기도,수원시권선구,아이파크도만스쿨어린이집,민간,정상,16664,"경기도 수원시 권선구 동수원로145번길 73 관리동어린이집(권선동,수원아이파크시티3단지)",031-233-2228,031-233-2218,5,201,0,8,12,47,37,37.24330484,127.0258792,미운영,,2012-03-05,,,
,경기,3106,경기도,수원시권선구,아이파크아이숲어린이집,민간,정상,16663,"경기도 수원시 권선구 동수원로145번길 74 아이파크시티1단지 관리동(권선동, 수원아이파크시티)",031-222-8690,031-222-8691,5,189,0,6,12,44,39,37.24516794,127.0261707,미운영,,2012-03-05,,,
,경기,3107,경기도,수원시권선구,칠보산어린이집,협동,정상,16384,"경기도 수원시 권선구 금곡로 45 212동 104호(금곡동, 금곡엘지빌리지)",031-890-7533,--,2,84,0,0,4,17,8,37.27126817,126.9362897,미운영,https://m.cafe.naver.com/ca-fe/chilbovillage,2012-03-13,,,
,경기,3108,경기도,수원시권선구,아이파크어린이집,가정,정상,16663,"경기도 수원시 권선구 동수원로145번길 24 206동 104호(권선동, 아이파크시티2단지)",031-892-5155,031-307-7214,4,119,0,4,6,20,8,37.24479606,127.0299326,미운영,,2012-03-28,,,
,경기,3109,경기도,수원시권선구,에코비어린이집,가정,정상,16378,"경기도 수원시 권선구 당진로31번길 51-20 103동104호(당수동, 쌍용1차아파트)",031-501-7070,--,3,84,0,4,4,19,13,37.29232374,126.9363996,운영,,2012-04-04,,,
,경기,3110,경기도,수원시권선구,아이터세상어린이집,민간,정상,16664,"경기도 수원시 권선구 동수원로145번길 23 (권선동, 아이파크시티 4단지 관리동)",031-222-7943,031-222-7943,6,222,1,8,10,51,24,37.24135091,127.0281281,미운영,,2012-05-03,,,
,경기,3111,경기도,수원시권선구,으뜸아이어린이집,민간,정상,16663,"경기도 수원시 권선구 동수원로145번길 24 관리동 (권선동, 수원아이파크시티2단지)",031-223-6305,031-223-6306,7,261,2,11,13,59,52,37.24479606,127.0299326,미운영,네이버-으뜸아이어린이집,2012-05-03,,,
,경기,3112,경기도,수원시권선구,아기누리어린이집,가정,정상,16550,"경기도 수원시 권선구 매탄로 11 206동 103호(권선동,현대아파트)",031-236-3323,031-236-3323,3,65,0,4,4,15,5,37.25318111,127.0366673,미운영,http://cafe.naver.com/aginuri2012,2012-05-07,,,
,경기,3113,경기도,수원시권선구,서밋어린이집,가정,정상,16382,"경기도 수원시 권선구 금곡로73번길 71 405동 106호(금곡동, LG빌리지)",031-295-5357,0504-380-7705,3,73,0,4,6,17,9,37.27455383,126.9336096,미운영,,2012-06-07,,,
,경기,3114,경기도,수원시권선구,파인어린이집,가정,정상,16663,"경기도 수원시 권선구 동수원로145번길 24 221동 104호(권선동, 수원아이파크시티)",031-226-9814,031-226-9814,3,87,0,4,8,20,19,37.24415133,127.0281381,미운영,,2012-06-28,,,
,경기,3115,경기도,수원시권선구,베베숲어린이집,가정,정상,16635,"경기도 수원시 권선구 삼천병마로1598번길 28-16 106동101호(오목천동, 하우스스토리아파트)",031-293-3345,031-293-3345,3,74,0,4,4,17,9,37.24516501,126.9647882,미운영,,2012-07-02,,,
,경기,3116,경기도,수원시권선구,레인보우어린이집,가정,정상,16384,"경기도 수원시 권선구 금곡로 45 204동 104호 (금곡동, 엘지빌리지)",031-308-2014,--,3,89,0,4,6,20,11,37.27173461,126.9387173,미운영,,2012-07-09,,,
,경기,3117,경기도,수원시권선구,러브아이어린이집,가정,정상,16577,"경기도 수원시 권선구 세지로 97 102동 102호(세류동, 현대아파트)",031-222-4512,031-222-4513,3,91,0,4,3,18,5,37.26041518,127.0176085,미운영,,2012-07-24,,,
